time_0,x_0,y_0,time_1,x_1,y_1,time_2,x_2,y_2,time_3,x_3,y_3,time_4,x_4,y_4,time_5,x_5,y_5,time_6,x_6,y_6
1.170000000000000000e+02,6.875000000000000000e-01,1.724999999999999867e-01,1.170000000000000000e+02,3.624999999999999889e-01,2.474999999999999978e-01,1.170000000000000000e+02,4.425000000000000044e-01,3.275000000000000133e-01,1.170000000000000000e+02,7.275000000000000355e-01,6.025000000000000355e-01,1.170000000000000000e+02,4.025000000000000244e-01,1.750000000000000167e-02,1.170000000000000000e+02,6.424999999999999600e-01,5.274999999999999689e-01,1.170000000000000000e+02,2.924999999999999822e-01,1.774999999999999911e-01
1.180000000000000000e+02,6.824999999999999956e-01,1.724999999999999867e-01,1.180000000000000000e+02,3.624999999999999889e-01,2.525000000000000022e-01,1.180000000000000000e+02,4.375000000000000000e-01,3.275000000000000133e-01,1.180000000000000000e+02,7.225000000000000311e-01,6.025000000000000355e-01,1.180000000000000000e+02,3.975000000000000200e-01,1.750000000000000167e-02,1.180000000000000000e+02,6.424999999999999600e-01,5.324999999999999734e-01,1.180000000000000000e+02,2.924999999999999822e-01,1.824999999999999956e-01
1.190000000000000000e+02,6.774999999999999911e-01,1.724999999999999867e-01,1.190000000000000000e+02,3.624999999999999889e-01,2.575000000000000067e-01,1.190000000000000000e+02,4.375000000000000000e-01,3.325000000000000178e-01,1.190000000000000000e+02,7.175000000000000266e-01,6.025000000000000355e-01,1.190000000000000000e+02,3.925000000000000155e-01,1.750000000000000167e-02,1.190000000000000000e+02,6.424999999999999600e-01,5.374999999999999778e-01,1.190000000000000000e+02,2.924999999999999822e-01,1.875000000000000000e-01
1.200000000000000000e+02,6.724999999999999867e-01,1.724999999999999867e-01,1.200000000000000000e+02,3.624999999999999889e-01,2.625000000000000111e-01,1.200000000000000000e+02,4.324999999999999956e-01,3.325000000000000178e-01,1.200000000000000000e+02,7.125000000000000222e-01,6.025000000000000355e-01,1.200000000000000000e+02,3.875000000000000111e-01,1.750000000000000167e-02,1.200000000000000000e+02,6.424999999999999600e-01,5.424999999999999822e-01,1.200000000000000000e+02,2.924999999999999822e-01,1.925000000000000044e-01
1.210000000000000000e+02,6.724999999999999867e-01,1.774999999999999911e-01,1.210000000000000000e+02,3.624999999999999889e-01,2.675000000000000155e-01,1.210000000000000000e+02,4.274999999999999911e-01,3.325000000000000178e-01,1.210000000000000000e+02,7.075000000000000178e-01,6.025000000000000355e-01,1.210000000000000000e+02,3.875000000000000111e-01,1.250000000000000069e-02,1.210000000000000000e+02,6.424999999999999600e-01,5.474999999999999867e-01,1.210000000000000000e+02,2.924999999999999822e-01,1.975000000000000089e-01
1.220000000000000000e+02,6.674999999999999822e-01,1.774999999999999911e-01,1.220000000000000000e+02,3.624999999999999889e-01,2.725000000000000200e-01,1.220000000000000000e+02,4.224999999999999867e-01,3.325000000000000178e-01,1.220000000000000000e+02,7.025000000000000133e-01,6.025000000000000355e-01,1.220000000000000000e+02,3.825000000000000067e-01,1.250000000000000069e-02,1.220000000000000000e+02,6.424999999999999600e-01,5.524999999999999911e-01,1.220000000000000000e+02,2.924999999999999822e-01,2.025000000000000133e-01
1.230000000000000000e+02,6.674999999999999822e-01,1.824999999999999956e-01,1.230000000000000000e+02,3.624999999999999889e-01,2.775000000000000244e-01,1.230000000000000000e+02,4.174999999999999822e-01,3.325000000000000178e-01,1.230000000000000000e+02,6.975000000000000089e-01,6.025000000000000355e-01,1.230000000000000000e+02,3.775000000000000022e-01,1.250000000000000069e-02,1.230000000000000000e+02,6.424999999999999600e-01,5.574999999999999956e-01,1.230000000000000000e+02,2.924999999999999822e-01,2.074999999999999900e-01
1.240000000000000000e+02,6.674999999999999822e-01,1.875000000000000000e-01,1.240000000000000000e+02,3.624999999999999889e-01,2.824999999999999734e-01,1.240000000000000000e+02,4.124999999999999778e-01,3.325000000000000178e-01,1.240000000000000000e+02,6.925000000000000044e-01,6.025000000000000355e-01,1.240000000000000000e+02,3.724999999999999978e-01,1.250000000000000069e-02,1.240000000000000000e+02,6.424999999999999600e-01,5.625000000000000000e-01,1.240000000000000000e+02,2.924999999999999822e-01,2.124999999999999944e-01
1.250000000000000000e+02,6.674999999999999822e-01,1.925000000000000044e-01,1.250000000000000000e+02,3.624999999999999889e-01,2.874999999999999778e-01,1.250000000000000000e+02,4.074999999999999734e-01,3.325000000000000178e-01,1.250000000000000000e+02,6.925000000000000044e-01,6.075000000000000400e-01,1.250000000000000000e+02,3.674999999999999933e-01,1.250000000000000069e-02,1.250000000000000000e+02,6.424999999999999600e-01,5.675000000000000044e-01,1.250000000000000000e+02,2.924999999999999822e-01,2.174999999999999989e-01
1.260000000000000000e+02,6.674999999999999822e-01,1.975000000000000089e-01,1.260000000000000000e+02,3.624999999999999889e-01,2.924999999999999822e-01,1.260000000000000000e+02,4.025000000000000244e-01,3.325000000000000178e-01,1.260000000000000000e+02,6.925000000000000044e-01,6.125000000000000444e-01,1.260000000000000000e+02,3.624999999999999889e-01,1.250000000000000069e-02,1.260000000000000000e+02,6.424999999999999600e-01,5.725000000000000089e-01,1.260000000000000000e+02,2.924999999999999822e-01,2.225000000000000033e-01
