time,cdf
1.186000000000000000e+03,7.057813394390383133e-01
1.187000000000000000e+03,7.063537492844876864e-01
1.188000000000000000e+03,7.069261591299370595e-01
1.189000000000000000e+03,7.074985689753863216e-01
1.190000000000000000e+03,7.080709788208356947e-01
1.191000000000000000e+03,7.086433886662850679e-01
1.192000000000000000e+03,7.092157985117344410e-01
1.193000000000000000e+03,7.097882083571837031e-01
1.194000000000000000e+03,7.103606182026330762e-01
1.195000000000000000e+03,7.109330280480824493e-01
1.196000000000000000e+03,7.115054378935318224e-01
1.197000000000000000e+03,7.120778477389810845e-01
1.198000000000000000e+03,7.126502575844304577e-01
1.199000000000000000e+03,7.132226674298798308e-01
1.200000000000000000e+03,7.137950772753290929e-01
1.201000000000000000e+03,7.143674871207784660e-01
1.202000000000000000e+03,7.149398969662278391e-01
1.203000000000000000e+03,7.155123068116772123e-01
1.204000000000000000e+03,7.160847166571264744e-01
1.205000000000000000e+03,7.166571265025758475e-01
1.206000000000000000e+03,7.172295363480252206e-01
1.207000000000000000e+03,7.178019461934744827e-01
1.208000000000000000e+03,7.183743560389238558e-01
1.209000000000000000e+03,7.189467658843732289e-01
1.210000000000000000e+03,7.195191757298226021e-01
1.211000000000000000e+03,7.200915855752718642e-01
1.212000000000000000e+03,7.206639954207212373e-01
1.213000000000000000e+03,7.212364052661706104e-01
1.214000000000000000e+03,7.218088151116198725e-01
1.215000000000000000e+03,7.223812249570692456e-01
1.216000000000000000e+03,7.229536348025186188e-01
1.217000000000000000e+03,7.235260446479679919e-01
1.218000000000000000e+03,7.240984544934172540e-01
1.219000000000000000e+03,7.246708643388666271e-01
1.220000000000000000e+03,7.252432741843160002e-01
1.221000000000000000e+03,7.258156840297652623e-01
1.222000000000000000e+03,7.263880938752146355e-01
1.223000000000000000e+03,7.269605037206640086e-01
1.224000000000000000e+03,7.275329135661133817e-01
1.225000000000000000e+03,7.281053234115626438e-01
1.226000000000000000e+03,7.286777332570120169e-01
1.227000000000000000e+03,7.292501431024613900e-01
1.228000000000000000e+03,7.298225529479106521e-01
1.229000000000000000e+03,7.303949627933600253e-01
1.230000000000000000e+03,7.309673726388093984e-01
1.231000000000000000e+03,7.315397824842587715e-01
1.232000000000000000e+03,7.321121923297080336e-01
1.233000000000000000e+03,7.326846021751574067e-01
1.234000000000000000e+03,7.332570120206067799e-01
1.235000000000000000e+03,7.338294218660560420e-01
1.236000000000000000e+03,7.344018317115054151e-01
1.237000000000000000e+03,7.349742415569547882e-01
1.238000000000000000e+03,7.355466514024041613e-01
1.239000000000000000e+03,7.361190612478534234e-01
1.240000000000000000e+03,7.366914710933027965e-01
1.241000000000000000e+03,7.372638809387521697e-01
1.242000000000000000e+03,7.378362907842015428e-01
1.243000000000000000e+03,7.384087006296508049e-01
1.244000000000000000e+03,7.389811104751001780e-01
1.245000000000000000e+03,7.395535203205495511e-01
1.246000000000000000e+03,7.401259301659988132e-01
1.247000000000000000e+03,7.406983400114481864e-01
